Region,CatalogKey,ItemNumber,ColorCode,TagName,TagValue
GLOBAL,ALL,ANN9EN734,9EN,Product Type,Sunglasses
GLOBAL,ALL,ANN9ENN10,9EN,Product Type,Sunglasses
GLOBAL,ALL,ANN9ENN30,9EN,Product Type,Sunglasses
GLOBAL,ALL,BAL081010,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081011,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081030,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081031,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081112,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081113,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081132,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081133,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081616,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081636,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081714,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081734,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081N10,081,Product Type,Sunglasses
GLOBAL,ALL,BAL081N30,081,Product Type,Sunglasses
GLOBAL,ALL,BAL111010,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111011,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111030,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111031,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111112,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111113,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111132,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111133,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111616,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111636,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111714,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111734,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111N10,111,Product Type,Sunglasses
GLOBAL,ALL,BAL111N30,111,Product Type,Sunglasses
GLOBAL,ALL,BAL220010,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220011,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220030,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220031,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220112,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220113,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220132,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220133,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220616,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220636,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220714,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220734,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220N10,220,Product Type,Sunglasses
GLOBAL,ALL,BAL220N30,220,Product Type,Sunglasses
GLOBAL,ALL,BAL424010,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424011,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424030,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424031,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424112,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424113,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424132,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424133,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424616,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424636,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424714,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424734,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424N10,424,Product Type,Sunglasses
GLOBAL,ALL,BAL424N30,424,Product Type,Sunglasses
GLOBAL,ALL,BALLYHOOCFB,7KA,Product Type,Apparel - Hats
